Link,Tags,Hubs,Unique user,Company name,Username,Number of comments,Number of positive votes,Number of negative votes,Number of views,Number of bookmarks
/ru/post/581302/,,,True,,BetaTester2_0,13,0,0,6000,29
/ru/company/skillfactory/blog/581794/,,,False,skillfactory,KD637,21,0,0,2800,53
/ru/company/storelab/blog/151818/,,,False,storelab,Storelab,45,0,0,61000,174
/ru/post/211759/,,,True,,Mopper,35,0,0,56000,157
/ru/company/paragon/blog/366683/,,,False,paragon,Paragon,39,0,0,57000,26
/ru/post/582348/,,,True,,mdanilchyk,6,0,0,2200,13
/ru/company/timeweb/blog/545620/,,,False,timeweb,tw_community,19,0,0,27000,34
/ru/post/579908/,,,True,,dedstriger,25,0,0,6100,37
/ru/company/ligastavok/blog/578270/,,,False,ligastavok,helloageeva,4,0,0,1900,10
/ru/company/vdsina/blog/553850/,,,False,vdsina,host_m,99,0,0,56000,57
/ru/company/ruvds/blog/558916/,,,False,ruvds,ru_vds,22,0,0,7700,31
/ru/news/t/549714/,,,True,,AnnieBronson,38,0,0,22000,9
/ru/post/574960/,,,True,,artemlinov22,7,0,0,6300,20
/ru/post/546802/,,,True,,Ermolaev-Dmitry,6,0,0,7600,13
/ru/news/t/575522/,,,True,,BobcatKat,3,0,0,2100,2
/ru/news/t/547252/,,,True,,maybe_elf,7,0,0,6400,4
/ru/news/t/573240/,,,True,,BobcatKat,20,0,0,5300,4
/ru/news/t/581842/,,,True,,AnnieBronson,5,0,0,2500,1
/ru/post/547558/,,,True,,grokru,15,0,0,13000,27
/ru/news/t/546786/,,,True,,maybe_elf,20,0,0,6700,2
/ru/post/547636/,,,True,,Goodluck,38,0,0,16000,57
/ru/news/t/557924/,,,True,,maybe_elf,4,0,0,5100,1
/ru/news/t/559240/,,,True,,maybe_elf,11,0,0,5400,3
/ru/company/itsoft/blog/547024/,,,False,itsoft,Maslukhin,73,0,0,22000,57
/ru/post/553450/,,,True,,avecoder,16,0,0,6500,18
/ru/post/560878/,,,True,,Lesterrry,77,0,0,46000,22
/ru/news/t/548514/,,,True,,maybe_elf,2,0,0,2000,1
/ru/news/t/549092/,,,True,,maybe_elf,11,0,0,5700,3
/ru/news/t/559872/,,,True,,maybe_elf,8,0,0,6000,0
/ru/post/545860/,,,True,,theioberry,9,0,0,2200,4
/ru/post/565498/,,,True,,Verovir,9,0,0,3600,9
/ru/post/441348/,,,True,,AlexKMK,14,0,0,4900,50
/ru/news/t/546006/,,,True,,AnnieBronson,63,0,0,13000,3
/ru/company/infowatch/blog/492260/,,,False,infowatch,InfoWatch,6,0,0,5700,40
/ru/post/574306/,,,True,,Billar,50,0,0,26000,22
/ru/news/t/544976/,,,True,,maybe_elf,2,0,0,4500,5
/ru/news/t/549096/,,,True,,Xtoman,9,0,0,2100,3
/ru/company/ruvds/blog/558614/,,,False,ruvds,ru_vds,77,0,0,19000,35
/ru/company/ruvds/blog/580648/,,,False,ruvds,sukhe,36,0,0,20000,291
/ru/company/seagate/blog/542014/,,,False,seagate,SeagateRussia,31,0,0,6900,20
/ru/company/cisco/blog/501820/,,,False,cisco,alukatsky,16,0,0,4300,20
/ru/company/itsoft/blog/545682/,,,False,itsoft,koral94,29,0,0,8800,19
/ru/post/419921/,,,True,,Firemoon,29,0,0,29000,203
/ru/post/537054/,,,True,,zapp,4,0,0,2300,14
/ru/company/infowatch/blog/575018/,,,False,infowatch,InfoWatch,8,0,0,2900,26
/ru/company/wd/blog/344252/,,,False,wd,WesternDigital,38,0,0,16000,26
/ru/company/ruvds/blog/563000/,,,False,ruvds,ru_vds,7,0,0,4700,26
/ru/company/regionsoft/news/t/548568/,,,False,regionsoft/news/t/548568,Free_Mic_RS,47,0,0,8600,4
/ru/company/regionsoft/news/t/548830/,,,False,regionsoft/news/t/548830,Free_Mic_RS,8,0,0,5600,4
/ru/news/t/564372/,,,True,,Verovir,2,0,0,1200,3
/ru/company/waves/blog/440702/,,,False,waves,ikardanoff,2,0,0,4700,26
/ru/company/waves/blog/462831/,,,False,waves,Waves_Platform,3,0,0,3200,10
/ru/post/501234/,,,True,,vadimfedorenko,30,0,0,25000,205
/ru/post/531872/,,,True,,bergentroll,137,0,0,66000,519
/ru/company/selectel/blog/524792/,,,False,selectel,Seleditor,14,0,0,20000,53
/ru/post/527024/,,,True,,heathen,58,0,0,16000,120
/ru/company/cloud4y/blog/537548/,,,False,cloud4y,Cloud4Y,17,0,0,29000,48
/ru/company/audiomania/blog/545722/,,,False,audiomania,Audioman,1,0,0,2800,9
/ru/company/selectel/blog/553368/,,,False,selectel,Belisckner,83,0,0,35000,37
/ru/company/selectel/blog/555956/,,,False,selectel,Deluar,4,0,0,4100,16
/ru/post/556496/,,,True,,Kanedias,97,0,0,64000,537
/ru/company/ruvds/blog/559148/,,,False,ruvds,ru_vds,13,0,0,11000,21
/ru/company/ruvds/blog/559860/,,,False,ruvds,ru_vds,53,0,0,7500,25
/ru/post/562612/,,,True,,alexzfort,3,0,0,7900,37
/ru/company/ruvds/blog/562828/,,,False,ruvds,cruzo,5,0,0,15000,114
/ru/company/jetinfosystems/blog/575320/,,,False,jetinfosystems,CSIRT,1,0,0,3600,30
/ru/post/578908/,,,True,,BoogerWooger,7,0,0,955,5
/ru/post/557382/,,,True,,mrkeksz,2,0,0,3200,12
/ru/company/alconost/blog/557866/,,,False,alconost,alconost,13,0,0,9000,35
/ru/company/ruvds/blog/560660/,,,False,ruvds,ru_vds,6,0,0,6800,50
/ru/post/565692/,,,True,,Sunvas,22,0,0,3200,37
/ru/post/573536/,,,True,,crypter,10,0,0,1600,16
/ru/news/t/547170/,,,True,,gornal,16,0,0,2800,2
/ru/news/t/565674/,,,True,,Travis_Macrif,9,0,0,2800,2
/ru/company/itsoft/news/t/568326/,,,False,itsoft/news/t/568326,Cangole,20,0,0,12000,4
/ru/news/t/578682/,,,True,,BobcatKat,1,0,0,4400,1
/ru/post/97782/,,,True,,neskin,42,0,0,920,58
/ru/post/168981/,,,True,,las68,6,0,0,51000,70
/ru/post/422125/,,,True,,Batin,2,0,0,2100,10
/ru/post/457518/,,,True,,greebn9k,14,0,0,1600,7
/ru/company/opsguru/blog/502648/,,,False,opsguru,CoolJuice,9,0,0,1700,15
/ru/company/redhatrussia/blog/518560/,,,False,redhatrussia,redhatrussia,5,0,0,3000,37
/ru/post/522504/,,,True,,Menaskop,33,0,0,15000,20
